job_id,registration_nr_full,address_final,samatos_pavadinimas,contractor,work_type,qty_extracted,unit,cost_be_pvm_eur,unit_price
1,V25-0286933-6,Naikupės g. 12A,"Stogo prilydomos dangos keitimas, 2 sl.","Truopni meistrai, MB_21",ROOF,18.0,m2,4290.0,238.33333333333334
2,V25-0230754-1,Baltijos pr. 107,Karšto vandens stovo atkarpos keitimas,"Mano Būstas Baltija, UAB",PIPE_STACK,0.5,m,182.14,364.28
3,V25-0273699-6,Tiltų g. 9,Kanalizacijos vamzdyno remonto darbai,"Noske, UAB_21",SEWER,1.0,m,433.73,433.73
4,V24-0371659-6,Šturmanų g. 20,Nuotekų stovo keitimas (skersmuo 100 mm.),"Noske, UAB_21",SEWER,2.0,m,321.45,160.725
5,V23-0405065-19,Sulupės g. 12,Šildymo sistemos radiatoriaus keitimas 2-oje laiptinėje,"Noske, UAB_21",RADIATOR,20.0,vnt,572.19,28.609500000000004
6,V25-0253748-2,Poilsio g. 39,Karšto ir cirkuliacinio vandens stovų ventilių keitimas (skersmuo iki 40 mm.),"Noske, UAB_21",SEWER,1.0,vnt,325.0,325.0
7,V25-0292497-3,Poilsio g. 20,Karšto vandens vamzdyno remonto darbai,"Noske, UAB_21",PIPE,2.5,m,211.54,84.616
8,V25-0212389-2,Rumpiškės g. 26,"Šildymo sistemos stovo keitimas, trieigio ventilio keitimas","Noske, UAB_21",PIPE_STACK,3.0,vnt,342.99,114.33
9,V25-0218726-4,J. Karoso g. 3,"Karšto vandens stovo atkarpos keitimas, 2-a laiptinė","Noske, UAB_21",PIPE_STACK,1.0,m,490.46,490.46
10,V25-0238219-6,Vilties g. 3,Šlaitinio stogo remontas,MB Autobokštelio paslaugos_0,ROOF,5.0,vnt,358.0,71.6
11,V25-0387884,Ganyklų g. 10A,Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,277.6,277.6
12,V25-0387882,Ganyklų g. 8C,Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,624.6,624.6
13,V25-0387885,Ganyklų g. 12,Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,124.92,124.92
14,V25-0388544-1,H. Manto g. 46,Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,666.45,666.45
15,V25-0388408,J. Karoso g. 18,Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,426.45,426.45
16,V25-0388546-1,M. Mažvydo al. 9A,Lietlovių valymas,"Dapreka, MB_21",PIPE,1.0,m,595.04,595.04
17,V25-0387883,Ganyklų g. 10,Lietlovių valymas,"Dapreka, MB_0",PIPE,1.0,m,277.6,277.6
18,V25-0318736-3,Ašaralio g. 4,Nuotekų stovo diagnostika su vaizdo kamera,"Biostera, MB_21",SEWER,6.0,m,159.6,26.599999999999998
19,V25-0287131,Prieplaukos g. 14M,Telefonspynės remonto darbai. 1 laiptinė,"Asvegas, UAB_21",PIPE_STACK,14.0,m,105.82,7.558571428571428
20,V25-0215376-43,Nidos g. 54,"Išorinių sienų tarpblokinių siūlių remontas, blokų gruntavimas",Alpinus LT UAB_21,FACADE_SEAM,27.0,vnt,3815.71,141.3225925925926
21,V25-0073062-7,Nidos g. 40,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,54.09,18.03
22,V25-0313122,Žalgirio g. 7,Judesio daviklių keitimas. 2 laiptinė,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,101.16,33.72
23,V25-0328043,Sulupės g. 13,Lemputės keitimas bendro naudojimo patalpose,"Mano Būstas Baltija, UAB",LIGHT,2.5,m,8.26,3.304
24,V25-0365730,Kauno g. 47,Lempų keitimas bendro naudojimo patalpose,"Mano Būstas Baltija, UAB",LIGHT,1.0,vnt,24.78,24.78
25,V25-0343225,Rambyno g. 7,Lempų keitimas bendro naudojimo patalpose,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,16.52,5.506666666666667
26,V25-0313122,Žalgirio g. 7,Judesio daviklių keitimas. 2 laiptinė,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,101.16,33.72
27,V25-0224455,Sulupės g. 13,Pakabinamos spynos montavimas,"Mano Būstas Baltija, UAB",LOCK_DOOR,5.0,vnt,44.6,8.92
28,V25-0073062-9,Nidos g. 40,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,-54.09,-18.03
29,V25-0314370-1,Sausio 15-osios g. 24,"Lempų keitimas bendro naudojimo patalpose, 2 vnt","Mano Būstas Baltija, UAB",LIGHT,2.0,vnt,16.51,8.255
30,V25-0073062-9,Nidos g. 40,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,54.09,18.03
31,V25-0257771,Šilutės pl. 12,"Karšto vandens vamzdynų sistemos būklės įvertinimas, išvadų pateikimas","Mano Būstas Baltija, UAB",PIPE,7.0,m,70.0,10.0
32,V25-0358657,Naikupės g. 17A,Lempų keitimas bendro naudojimo patalpose,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,8.26,2.7533333333333334
33,V25-0307583-2,Ganyklų g. 10A,"Apšvietimo sistemos įrangos, prietaisų (mechanizmų) veikimo kontrolės darbai, defektų šalinimo rekomendacijų pateikimas","Mano Būstas Baltija, UAB",PIPE_STACK,5.0,vnt,70.0,14.0
34,V25-0208670-2,Žemaičių g. 5G,Lempų keitimas bendro naudojimo patalpose,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,8.26,2.7533333333333334
35,V25-0383281-1,Liepų g. 25,"Apšvietimo sistemos įrangos, prietaisų (mechanizmų) veikimo kontrolės darbai","Mano Būstas Baltija, UAB",LIGHT,3.0,m,17.5,5.833333333333333
36,V25-0357926-2,Kalnupės g. 11A,Elektros apskaitos skydų renovavimas,"Mano Būstas Baltija, UAB",LIGHT,5.0,vnt,3741.74,748.348
37,V25-0328043-1,Sulupės g. 13,Judesio daviklio keitimas. 2 laiptinė,"Mano Būstas Baltija, UAB",LIGHT,2.5,m,53.8,21.52
38,V25-0002938-9,Šilutės pl. 12,"Fasado remonto darbai, spyglių nuo paukščių įrengimas","Mano Būstas Baltija, UAB",ROOF,2.0,m,2102.0,1051.0
39,V25-0288867-2,Jono g. 2,"Lempų keitimas bendro naudojimo patalpose, 2 vnt","Mano Būstas Baltija, UAB",LIGHT,2.0,vnt,16.51,8.255
40,V25-0328043-1,Sulupės g. 13,Judesio daviklio keitimas. 2 laiptinė,"Mano Būstas Baltija, UAB",LIGHT,2.5,m,53.8,21.52
41,V25-0368750-4,Kalnupės g. 7,"Šildymo sistemos temperatūros reguliavimas, atstatymas","Mano Būstas Baltija, UAB",PIPE_STACK,4.0,vnt,52.5,13.125
42,V25-0073062-9,Nidos g. 40,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,54.09,18.03
43,V25-0073062-7,Nidos g. 40,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,54.09,18.03
44,V25-0299607-1,Minijos g. 157,"Lempų keitimas bendro naudojimo patalpose, 3 vnt","Mano Būstas Baltija, UAB",LIGHT,3.0,vnt,24.77,8.256666666666666
45,V25-0328043,Sulupės g. 13,Lemputės keitimas bendro naudojimo patalpose,"Mano Būstas Baltija, UAB",LIGHT,2.5,m,8.26,3.304
46,V25-0073062-9,Nidos g. 40,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,54.09,18.03
47,V25-0273699-5,S. Daukanto g. 20,Avariniai nuotekų tinklų vamzdynų valymo darbai bendro naudojimo vamzdynuose,"Mano Būstas Baltija, UAB",SEWER,1.0,m,35.0,35.0
48,V25-0358835-1,"Kalnupės g.   11A, Klaipėda",,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,4.0,1.3333333333333333
49,V25-0312214,Šilutės pl. 24,Šviestuvų Italia su judesio davikliu montavimas arba keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,48.68,16.226666666666667
50,V25-0299607-1,Minijos g. 157,"Lempų keitimas bendro naudojimo patalpose, 3 vnt","Mano Būstas Baltija, UAB",LIGHT,3.0,vnt,24.77,8.256666666666666
51,V25-0287165,Minijos g. 130B,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",PIPE_STACK,3.0,m,35.0,11.666666666666666
52,V25-0292497-6,Liepų g. 39,Karšto vandens tiekimo išjungimas stovui dėl remonto darbų bute,"Mano Būstas Baltija, UAB",PIPE_STACK,2.5,m,35.0,14.0
53,V23-0405065-19,Sulupės g. 12,Šildymo sistemos radiatoriaus keitimas 2-oje laiptinėje,"Mano Būstas Baltija, UAB",RADIATOR,20.0,vnt,572.19,28.609500000000004
54,V25-0312214,Šilutės pl. 24,Šviestuvų Italia su judesio davikliu montavimas arba keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,48.68,16.226666666666667
55,V25-0253748-2,S. Daukanto g. 28,Karšto ir cirkuliacinio vandens stovų ventilių keitimas (skersmuo iki 40 mm.),"Mano Būstas Baltija, UAB",SEWER,1.0,vnt,35.0,35.0
56,V25-0383281-2,Liepų g. 25,Lempų keitimas bendro naudojimo patalpose,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,8.26,2.7533333333333334
57,V25-0234837-7,Tilžės g. 48,Pavienių čerpių keitimas iki 1m2,"Mano Būstas Baltija, UAB",ROOF,1.0,m2,143.0,143.0
58,V25-0314370-1,Sausio 15-osios g. 24,"Lempų keitimas bendro naudojimo patalpose, 2 vnt","Mano Būstas Baltija, UAB",LIGHT,2.0,vnt,16.51,8.255
59,V25-0358835,Kalnupės g. 11A,Judesio daviklio keitimas,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,52.11,17.37
60,V25-0221857,Minijos g. 126,Šviestuvo su judesio davikliu keitimas prie 3-ios laiptinės įėjimo,"Mano Būstas Baltija, UAB",LIGHT,3.0,m,63.55,21.183333333333334
61,V25-0258757-4,Pietinė g. 13,Sutapdinto stogo remonto darbai,"Truopni meistrai, MB_21",ROOF,100.0,m2,3510.0,35.1
62,V25-0368277-3,Baltijos pr. 91,Nuotekų vamzdyno atkarpos keitimas rūsyje,"Noske, UAB_21",SEWER,4.0,m,419.55,104.8875
63,V25-0256836-2,Debreceno g. 56,Šildymo sistemos stovo ventilių keitimas su drenažinių ventilių keitimu (skersmuo - iki 40 mm.),"Noske, UAB_21",PIPE_STACK,12.0,vnt,2066.0,172.16666666666666
64,V25-0404619-2,I. Simonaitytės g. 5,Šildymo sistemos radiatoriaus kamščio su nuorintoju keitimas 59-ame bute,"Noske, UAB_21",RADIATOR,1.0,vnt,92.18,92.18
